searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
mirage tower,80,kim seng road,mirage tower,80 kim seng road mirage tower singapore 239426,239426,28104.9845667183,30486.2269579731,1.29198111835787,103.834261909893,mirage tower,condo
the glyndebourne,38,trevose crescent,the glyndebourne,38 trevose crescent the glyndebourne singapore 297722,297722,26918.1768040918,33830.4787275828,1.32222533352038,103.823597825035,the glyndebourne,condo
109c edgedale plains singapore 823109,109c,edgedale plains,nil,109c edgedale plains singapore 823109,823109,36453.6778719006,41896.7629669681,1.39517271989093,103.909281605641,edgedale plains,condo
cardiff residence,103,cardiff grove,cardiff residence,103 cardiff grove cardiff residence singapore 558962,558962,31614.5839751,37450.4053603653,1.35496246598975,103.865797958378,cardiff residence,condo
regent park,26,jalan lempeng,regent park,26 jalan lempeng regent park singapore 128805,128805,19946.0960365105,33315.6011346504,1.31756792362144,103.760950142464,regent park,condo
pepys hill condominium,19,pepys road,pepys hill condominium,19 pepys road pepys hill condominium singapore 118450,118450,23600.1092013,28912.2562700622,1.27774637356665,103.793783926302,pepys hill condominium,condo
novena lodge,2,jalan merlimau,novena lodge,2 jalan merlimau novena lodge singapore 308729,308729,28869.7131055472,33979.3321313076,1.32357151793004,103.841133415932,novena lodge,condo
the mayfair,3,jurong east street 32,the mayfair,3 jurong east street 32 the mayfair singapore 609478,609478,16848.2925466029,36415.2154369522,1.34559872380256,103.733113689952,the mayfair,condo
assemblage @ 362 holland road,362,holland road,assemblage @ 362 holland road,362 holland road assemblage @ 362 holland road singapore 278696,278696,23796.1075019063,32741.468848303,1.31237644478781,103.795544530687,holland road,condo
suffolk road,,suffolk road,nil,suffolk road,nil,29247.6072175186,32963.1521664076,1.31438153240895,103.844528955303,suffolk road,condo
windy heights,80,jalan daud,windy heights,80 jalan daud windy heights singapore 419591,419591,36507.7846471826,34310.5135732032,1.32656543019703,103.909765638123,windy heights,condo
barker ville,45f,barker road,barker ville,45f barker road barker ville singapore 307475,307475,28356.5398119744,33525.9782409221,1.3194715559073,103.836522274536,chestnut ville,condo
the bayshore,24,bayshore road,the bayshore,24 bayshore road the bayshore singapore 469971,469971,39698.5295829838,32737.8951377328,1.31234219058664,103.938435586938,the bayshore,condo
emerald apartments,140,emerald hill road,emerald apartments,140 emerald hill road emerald apartments singapore 229417,229417,28705.6013388196,31941.4048599228,1.30514122743721,103.839658737676,emerald apartments,condo
parc somme,62,somme road,parc somme,62 somme road parc somme singapore 207877,207877,30813.47425815,32628.7134959791,1.3113568841101,103.858599024436,parc somme,condo
cavenagh house,100,clemenceau avenue north,cavenagh house,100 clemenceau avenue north cavenagh house singapore 229491,229491,28814.3329561912,32246.7548478153,1.30790270242326,103.840635750149,cavenagh house,condo
the urbanite,29,hertford road,the urbanite,29 hertford road the urbanite singapore 219384,219384,29675.3090219721,32866.8138355054,1.31351026234071,103.848372065079,the urbanite,condo
loyang avenue pumping station,,nil,loyang avenue pumping station,loyang avenue pumping station,nil,46344.9652861059,39464.0886124223,1.37316799974603,103.998160999626,loyang avenue,condo
nathan suites,21,nathan road,nathan suites,21 nathan road nathan suites singapore 248743,248743,27313.4469785476,30844.5029671025,1.29522123322474,103.827149602901,nathan suites,condo
upper east coast road,,upper east coast road,nil,upper east coast road,nil,39961.3180232606,33026.3489781251,1.31495119971126,103.940799865408,upper east coast road,condo
fontaine parry,75,poh huat road,fontaine parry,75 poh huat road fontaine parry singapore 546782,546782,33199.4860664029,38650.2083185855,1.36581281852188,103.880039536732,fontaine parry,condo
high park residences,31,fernvale road,high park residences,31 fernvale road high park residences singapore 797417,797417,32578.5314188069,41914.8394911326,1.39533706922149,103.874460340558,high park residences,condo
maysprings,6,petir road,maysprings,6 petir road maysprings singapore 678267,678267,20247.1591093335,39785.8353421856,1.3760824562769,103.763653684562,maysprings,condo
lentor mansion (u/c),58,lentor gardens,lentor mansion (u/c),58 lentor gardens lentor mansion (u/c) singapore 788847,788847,27981.0280930009,40581.0528210122,1.38327514262867,103.833148101837,lentor mansion,condo
papillon,8,jalan rama rama,papillon,8 jalan rama rama papillon singapore 329089,329089,29772.0735260854,34349.8773887083,1.3269225590077,103.849241627567,papillon,condo
citigate residence,168,rangoon road,citigate residence,168 rangoon road citigate residence singapore 218437,218437,30226.5848944364,33209.217979867,1.31660680940599,103.853325577811,citigate residence,condo
keng cheow street,,keng cheow street,nil,keng cheow street,nil,29183.6598003993,30050.8379030285,1.28804360780486,103.843954261113,keng cheow street,condo
nicon gardens,63c,choa chu kang road,nicon gardens,63c choa chu kang road nicon gardens singapore 689400,689400,19618.7674970655,39961.6788885985,1.37767254833664,103.758007083743,nicon gardens,condo
rich east garden,300,upper east coast road,rich east garden,300 upper east coast road rich east garden singapore 466438,466438,39528.6725897305,32939.4660162851,1.31416518754068,103.936909415537,rich east garden,condo
10e robey crescent singapore 546279,10e,robey crescent,nil,10e robey crescent singapore 546279,546279,33479.2209558394,38892.0431522112,1.36799983515448,103.882553191006,robey crescent,condo
hillview apartments,71,hillview avenue,hillview apartments,71 hillview avenue hillview apartments singapore 669570,669570,20128.4698701426,37566.9218123462,1.3560153779275,103.762587763182,hillview apartments,condo
39 seraya crescent singapore 575853,39,seraya crescent,nil,39 seraya crescent singapore 575853,575853,27235.1725500599,39505.777886847,1.37355073085693,103.826446055397,seraya crescent,condo
20f jalan naung singapore 537690,20f,jalan naung,nil,20f jalan naung singapore 537690,537690,34694.2211054675,38997.9958659969,1.36895778279486,103.893470832819,jalan naung,condo
country grandeur,22,lorong puntong,country grandeur,22 lorong puntong country grandeur singapore 576439,576439,27777.8761965875,38069.4710739031,1.36056129382805,103.831322647843,country grandeur,condo
62 kalidasa avenue singapore 789414,62,kalidasa avenue,nil,62 kalidasa avenue singapore 789414,789414,27486.2450512424,40376.0184981562,1.3814208810974,103.82870210676,kalidasa avenue,condo
kismis court,11,toh yi road,kismis court,11 toh yi road kismis court singapore 596494,596494,21044.5848797169,35577.8227312211,1.33802691157486,103.770820107051,kismis court,condo
scotts road,,scotts road,nil,scotts road,nil,28129.3784473152,32486.1531513151,1.31006306044849,103.834474130511,scotts road,condo
e maison,32,braddell road,e maison,32 braddell road e maison singapore 359967,359967,31937.7177957529,36249.9602971394,1.34410602889559,103.86870136799,r maison,condo
parc emily,9,mount emily road,parc emily,9 mount emily road parc emily singapore 228492,228492,29712.7426178865,31789.6125257835,1.30376843180555,103.848708365255,parc emily,condo
blossoms by the park (u/c),9,slim barracks rise,blossoms by the park (u/c),9 slim barracks rise blossoms by the park (u/c) singapore 139742,139742,23100.9394509289,31858.8309248835,1.30439407816407,103.789298243056,blossoms by the park,condo
nexus @one-north,1,fusionopolis link,nexus @one-north,1 fusionopolis link nexus @one-north singapore 138542,138542,23135.3729751017,31290.5422360059,1.29925468229405,103.78960773275,the hill @one-north,condo
the siena,35,tan kim cheng road,the siena,35 tan kim cheng road the siena singapore 266637,266637,25572.9521958735,33669.8758979402,1.32077282110112,103.811510282961,the siena,condo
perfect ten (u/c),321,bukit timah road,perfect ten (u/c),321 bukit timah road perfect ten (u/c) singapore 259781,259781,27951.3983399887,33259.8464795314,1.31706475629587,103.832881868381,perfect ten,condo
bukit timah road,,bukit timah road,nil,bukit timah road,nil,25947.9264795692,33897.9980302542,1.32283574145492,103.81488093133,bukit timah road,condo
palm grove condominium,21,palm grove avenue,palm grove condominium,21 palm grove avenue palm grove condominium singapore 547320,547320,33032.3501648856,38015.9397837948,1.36007675077248,103.878537599085,palm grove avenue,condo
watten estate,17,watten view,watten estate,17 watten view watten estate singapore 287135,287135,25291.8181083547,34676.0962433349,1.3298726974529,103.808984057163,watten view,condo
the arcadia,239,arcadia road,the arcadia,239 arcadia road the arcadia singapore 289845,289845,25350.4502801495,35063.152171297,1.33337309901038,103.80951086623,the arcadia,condo
the landmark (u/c),173,chin swee road,the landmark (u/c),173 chin swee road the landmark (u/c) singapore 169878,169878,28693.9374502227,29842.8952808194,1.28616304514336,103.839553885885,the landmark,condo
yikai court,371,upper paya lebar road,yikai court,371 upper paya lebar road yikai court singapore 534969,534969,33192.6172015183,36691.7510005087,1.34810123517193,103.879977476003,yikai court,condo
court road,,court road,nil,court road,nil,31824.9671501019,39079.7188015403,1.36969736688506,103.867688596034,park court,condo
corporation tiara,175,yung kuang road,corporation tiara,175 yung kuang road corporation tiara singapore 610175,610175,15585.4059042232,34948.3289103266,1.33233225216323,103.721766497129,tiara,condo
pinetree condominium,28,balmoral park,pinetree condominium,28 balmoral park pinetree condominium singapore 259856,259856,27552.083091653,33030.4174330533,1.31498987777031,103.829293820223,pinetree condominium,condo
embassy of the republic of the philippines,20,nassim road,embassy of the republic of the philippines,20 nassim road embassy of the republic of the philippines singapore 258395,258395,26842.2242931705,32372.2963347677,1.30903804428064,103.822915406228,the nassim,condo
eastwind mansions,102,joo chiat terrace,eastwind mansions,102 joo chiat terrace eastwind mansions singapore 427256,427256,35684.9863762315,32951.254185224,1.31427299639943,103.9023720141,eastwind mansions,condo
imperial heights,16,ipoh lane,imperial heights,16 ipoh lane imperial heights singapore 438620,438620,34883.4395593293,32639.674894942,1.31145537479688,103.895169649984,imperial heights,condo
the arcady at boon keng,2,saint barnabas lane,the arcady at boon keng,2 saint barnabas lane the arcady at boon keng singapore 329353,329353,31397.4409756241,33946.4422440361,1.32327389691932,103.86384639614,the arcady at boon keng,condo
shelford road,,shelford road,nil,shelford road,nil,25532.5615857716,34409.6031706559,1.32746244374854,103.811146600687,shelford road,condo
the crest,111,prince charles crescent,the crest,111 prince charles crescent the crest singapore 159022,159022,26534.8933565477,30620.9067729618,1.29319908101259,103.820153971824,the crest,condo
kim keat gardens,6,kim keat road,kim keat gardens,6 kim keat road kim keat gardens singapore 328847,328847,30151.0748409014,33981.1038980018,1.32358747782594,103.852647135431,kim keat gardens,condo
ocean way,,ocean way,nil,ocean way,nil,28957.1019710109,25632.0864218043,1.2480811344961,103.84191919765,ocean way,condo
casa emerald,51,lorong 32 geylang,casa emerald,51 lorong 32 geylang casa emerald singapore 398311,398311,33998.7413850622,32713.9025242757,1.31212684791503,103.887220221118,casa emerald,condo
the arris,28,yan kit road,the arris,28 yan kit road the arris singapore 088271,088271,28921.2140193069,28663.9496874977,1.27550106882151,103.841596022941,the arris,condo
duku road,,duku road,nil,duku road,nil,35989.8267302357,32426.7113153225,1.30952914909452,103.905111030074,duku road,condo
dunman road,,dunman road,nil,dunman road,nil,34925.6680002302,32430.1016535229,1.30956005754787,103.89554915439,dunman road,condo
the cristallo,70,lorong k telok kurau,the cristallo,70 lorong k telok kurau the cristallo singapore 425687,425687,36701.8520925716,32773.2486875374,1.31266290803793,103.911509004252,the cristallo,condo
villa chancerita,16,chancery hill road,villa chancerita,16 chancery hill road villa chancerita singapore 309657,309657,28556.0668146582,34196.6291342843,1.32553668245596,103.838315140395,villa chancery,condo
martin place,,martin place,nil,martin place,nil,28571.2533668708,30637.647510469,1.29335050764271,103.83845153463,martin place,condo
hillion residences,12,jelebu road,hillion residences,12 jelebu road hillion residences singapore 677673,677673,20281.0751720564,40071.4962185454,1.37866587809349,103.763958370107,hillion residences,condo
compassvale road,,compassvale road,nil,compassvale road,nil,35130.2016120335,41347.2318271592,1.39020320930569,103.897388951353,compassvale road,condo
rv edge,2,shanghai road,rv edge,2 shanghai road rv edge singapore 248209,248209,27417.8075358551,30807.1942871567,1.29488382877099,103.828087328414,rv edge,condo
nassim lodge,7,nassim road,nassim lodge,7 nassim road nassim lodge singapore 258374,258374,27152.3848927869,32175.3379034493,1.30725683177633,103.82570235412,nassim lodge,condo
springdale condominium,45,hindhede walk,springdale condominium,45 hindhede walk springdale condominium singapore 587978,587978,21209.6214241507,36713.235154815,1.34829521002806,103.772302801598,springdale condominium,condo
casa jervois,99,jervois road,casa jervois,99 jervois road casa jervois singapore 249055,249055,26405.2806441775,30790.8007536922,1.29473553604742,103.818989337771,jervois prive,condo
shell ang mo kio avenue 6,3535,ang mo kio avenue 6,shell ang mo kio avenue 6,3535 ang mo kio avenue 6 shell ang mo kio avenue 6 singapore 569839,569839,29268.486950459,38864.9592393078,1.36775537872269,103.844716816738,ang mo kio avenue 9,condo
le wilkie,68,wilkie road,le wilkie,68 wilkie road le wilkie singapore 228070,228070,29623.1201774795,31687.537624998,1.30284530720385,103.847903060812,le wilkie,condo
the laurels,38,cairnhill road,the laurels,38 cairnhill road the laurels singapore 229658,229658,28457.7702057455,31900.8369234893,1.30477434995815,103.83743185829,the laurels,condo
chelsea gardens,8,walshe road,chelsea gardens,8 walshe road chelsea gardens singapore 257652,257652,27346.2947933208,32840.630637262,1.31327350929151,103.827444712789,chelsea gardens,condo
flower road,,flower road,nil,flower road,nil,33337.1455889459,38039.1654590309,1.36028604477706,103.881277091133,flower road,condo
jade vine gardens,39,kang choo bin road,jade vine gardens,39 kang choo bin road jade vine gardens singapore 548316,548316,33438.6016243706,38492.9541267846,1.36439062525132,103.882188125238,jade garden,condo
parc haven,12,lorong limau,parc haven,12 lorong limau parc haven singapore 328741,328741,30326.057111837,34067.4514031075,1.32436836124439,103.854219451062,parc haven,condo
arthur mansions,125,arthur road,arthur mansions,125 arthur road arthur mansions singapore 439829,439829,33991.1357369181,31251.5150912851,1.29890153862647,103.887151599437,arthur mansions,condo
coralis,530,joo chiat road,coralis,530 joo chiat road coralis singapore 427710,427710,36027.6707113199,31871.5918765496,1.30450883144843,103.905450923104,coralis,condo
hock mansion,1,wilkie terrace,hock mansion,1 wilkie terrace hock mansion singapore 228022,228022,29695.5969855618,31643.2547475845,1.30244482459515,103.848554295862,hock mansion,condo
elizabeth heights,57,cairnhill road,elizabeth heights,57 cairnhill road elizabeth heights singapore 229668,229668,28352.7148468718,32205.0541018229,1.30752558427329,103.836487890258,elizabeth heights,condo
jalan bukit ho swee,,jalan bukit ho swee,nil,jalan bukit ho swee,nil,27590.7794013162,29974.4846700622,1.28735319423286,103.829642132442,jalan bukit ho swee,condo
juniper at ardmore,6,ardmore park,juniper at ardmore,6 ardmore park juniper at ardmore singapore 259953,259953,27590.9820211949,32341.5322890654,1.308759844145,103.829643355814,juniper at ardmore,condo
adria,12,derbyshire road,adria,12 derbyshire road adria singapore 309466,309466,29440.0935239745,33191.4705594908,1.3164463549549,103.846258551824,adria,condo
sunshine lodge,510,upper serangoon road,sunshine lodge,510 upper serangoon road sunshine lodge singapore 534530,534530,32237.8862983175,36383.7445430253,1.34531588501516,103.871398582883,sunshine lodge,condo
ygk garden,2,belmont road,ygk garden,2 belmont road ygk garden singapore 269854,269854,24221.0328544807,32786.9059347399,1.31278741680729,103.799362688634,ygk garden,condo
wu de building,6a,beatty road,wu de building,6a beatty road wu de building singapore 209946,209946,30742.8248190479,32923.3409598358,1.31402139704148,103.857964230708,wu de building,condo
sims meadows,8,lorong 33 geylang,sims meadows,8 lorong 33 geylang sims meadows singapore 387977,387977,34090.7350495821,33010.9730079025,1.31481342923106,103.888046887621,sims meadows,condo
prestige heights,348,balestier road,prestige heights,348 balestier road prestige heights singapore 329778,329778,30124.8706669454,34173.75831284,1.32532977793951,103.852411690265,prestige heights,condo
robin suites,25,robin road,robin suites,25 robin road robin suites singapore 258203,258203,27493.7303236155,33329.1739341766,1.31769172514138,103.828769486315,robin suites,condo
meyer blue (u/c),83,meyer road,meyer blue (u/c),83 meyer road meyer blue (u/c) singapore 437910,437910,34495.444325028,30995.1620376632,1.29658307180925,103.891682981836,meyer blue,condo
lake grande,4,jurong lake link,lake grande,4 jurong lake link lake grande singapore 648158,648158,15865.2968251156,36462.3208341151,1.34602434625291,103.724280865595,lake grande,condo
cadence light,199,telok kurau road,cadence light,199 telok kurau road cadence light singapore 423833,423833,36646.8895505862,32749.9011756182,1.31245177706174,103.911015132544,cadence light,condo
livia,77,pasir ris grove,livia,77 pasir ris grove livia singapore 518208,518208,40273.2822116585,39435.7463383637,1.3729148417953,103.943602727992,livia,condo
tropical spring,33a,simei street 4,tropical spring,33a simei street 4 tropical spring singapore 529879,529879,41558.6616586344,35950.8667922858,1.34139834001891,103.955151180798,tropical spring,condo
cairnhill road,,cairnhill road,nil,cairnhill road,nil,28392.0287927956,32261.0536362806,1.30803122071576,103.836841433553,cairnhill road,condo
12 jalan tua kong singapore 457271,12,jalan tua kong,nil,12 jalan tua kong singapore 457271,457271,38305.2506460445,32883.6877521388,1.31366118364629,103.925916354731,jalan tua kong,condo
6 jalan jintan singapore 229004,6,jalan jintan,nil,6 jalan jintan singapore 229004,229004,28076.5523362141,31982.8268983196,1.3055158416708,103.834006437888,jalan jintan,condo
mayfair modern,4,rifle range road,mayfair modern,4 rifle range road mayfair modern singapore 588374,588374,22253.5843713051,35537.402169602,1.3376616168612,103.7816836788,mayfair modern,condo
sunset lodge,15,sunset close,sunset lodge,15 sunset close sunset lodge singapore 597529,597529,20472.9072965793,34055.6212524753,1.32426053315373,103.765683627165,sunset lodge,condo
viio @ balestier,520,balestier road,viio @ balestier,520 balestier road viio @ balestier singapore 329853,329853,29400.5536698774,34355.887853574,1.32697693485952,103.845903319079,viio @ balestier,condo
mount rosie garden,50,goldhill avenue,mount rosie garden,50 goldhill avenue mount rosie garden singapore 309031,309031,28069.940295171,33752.430582542,1.32151951282408,103.833947029498,mount rosie garden,condo
suites @ topaz,3,topaz road,suites @ topaz,3 topaz road suites @ topaz singapore 327849,327849,31540.6357192565,34538.2351724524,1.32862584566182,103.865133145358,suites @ topaz,condo
carabelle,51,west coast way,carabelle,51 west coast way carabelle singapore 127015,127015,19427.4081281796,33366.2111103088,1.3180254812967,103.756289455625,carabelle,condo
cavendish park,20,pine grove,cavendish park,20 pine grove cavendish park singapore 597595,597595,21620.3746105852,33219.1296246201,1.31669586393435,103.77599440398,cavendish park,condo
the heliconia,30,jalan daud,the heliconia,30 jalan daud the heliconia singapore 419572,419572,36411.4757972956,34287.0150543135,1.32635294484067,103.908900244938,the heliconia,condo
eastcove residences,302,joo chiat place,eastcove residences,302 joo chiat place eastcove residences singapore 427982,427982,36405.8627510555,32969.7253433596,1.31443985425782,103.908849449218,eastcove residences,condo
jurong east avenue 1,,jurong east avenue 1,nil,jurong east avenue 1,nil,17051.4657072422,36231.6839286948,1.34394361727901,103.734931027328,jurong east avenue 1,condo
alexandra road,,alexandra road,nil,alexandra road,nil,25990.7936187093,30437.4558222451,1.29153654792628,103.815285053503,alexandra road,condo
trellis towers,700,lorong 1 toa payoh,trellis towers,700 lorong 1 toa payoh trellis towers singapore 319773,319773,29152.3481823793,34746.4367673937,1.33050893129238,103.843673071862,trellis towers,condo
bedok north mrt station (dt29),651,bedok north road,bedok north mrt station (dt29),651 bedok north road bedok north mrt station (dt29) singapore 479481,479481,37421.7438196167,35214.6803870108,1.33474211664091,103.91797832995,bedok north drive,condo
jervois jade,21,jervois close,jervois jade,21 jervois close jervois jade singapore 249114,249114,27101.6938897362,30538.3807521407,1.29245276616102,103.825246918432,jervois jade,condo
le gambir,59,lorong gambir,le gambir,59 lorong gambir le gambir singapore 536613,536613,32676.6722384077,36373.5337900594,1.34522347751628,103.875341341036,lorong gambir,condo
watertown,67,punggol central,watertown,67 punggol central watertown singapore 828843,828843,35683.2134896219,43157.8154906072,1.40657743185801,103.902358706962,watertown,condo
kim tian road,,kim tian road,nil,kim tian road,nil,27396.9418716696,29425.6288051714,1.28239117181936,103.827896733136,kim tian road,condo
suites @ surrey,6,surrey road,suites @ surrey,6 surrey road suites @ surrey singapore 307745,307745,28949.9779869132,33136.7693512775,1.31595167560923,103.841854612829,suites @ surrey,condo
pasir view park,200,pasir panjang road,pasir view park,200 pasir panjang road pasir view park singapore 118571,118571,22906.7626473149,29029.8393960558,1.27880964969521,103.787553932401,pasir view park,condo
nouvel 18,18,anderson road,nouvel 18,18 anderson road nouvel 18 singapore 259977,259977,27422.7944888519,32619.3607192785,1.31127242377312,103.828132104727,nouvel 18,condo
10 teow hock avenue singapore 545697,10,teow hock avenue,nil,10 teow hock avenue singapore 545697,545697,33152.7283878364,38231.0531938914,1.36202213850332,103.879619314505,teow hock avenue,condo
ville royale,310,river valley road,ville royale,310 river valley road ville royale singapore 238351,238351,28884.0251400406,30929.4711601902,1.29598965078724,103.841261930523,ville royale,condo
daintree residence,11f,toh tuck road,daintree residence,11f toh tuck road daintree residence singapore 596128,596128,20985.0017484091,35744.5391184837,1.33953462072379,103.770284679478,daintree residence,condo
saint michael's condominium,19a,saint michael's road,saint michael's condominium,19a saint michael's road saint michael's condominium singapore 328003,328003,31229.8266583569,34263.8681888562,1.326144602682,103.862340325724,st michael's condominium,condo
r66 apartments,136,tessensohn road,r66 apartments,136 tessensohn road r66 apartments singapore 217699,217699,30355.0862269811,32916.0439845901,1.31395543790137,103.854480205326,r66 apartments,condo
carpmael road,,carpmael road,nil,carpmael road,nil,35419.2408962201,32543.4171420416,1.31058487789639,103.899983955655,carpmael road,condo
thomson v two,11,sin ming road,thomson v two,11 sin ming road thomson v two singapore 575629,575629,28248.0153789511,37279.4483983163,1.35341660995058,103.835547156524,thomson v two,condo
leville isuites,28,ceylon road,leville isuites,28 ceylon road leville isuites singapore 429621,429621,35761.9340984579,32049.3424875457,1.30611641186974,103.903063201898,leville isuites,condo
dalvey court,28,dalvey estate,dalvey court,28 dalvey estate dalvey court singapore 259548,259548,26759.5902761836,33697.8299548384,1.32102569890443,103.822172846509,dalvey court,condo
the esta,35,amber gardens,the esta,35 amber gardens the esta singapore 439966,439966,35390.9906051951,31568.1985927336,1.3017652097494,103.899729987957,the esta,condo
boon teck tower,41,boon teck road,boon teck tower,41 boon teck road boon teck tower singapore 329608,329608,29892.9497481715,34437.8898145258,1.32771850493034,103.850327771845,boon teck tower,condo
palmera east,29,lorong melayu,palmera east,29 lorong melayu palmera east singapore 416914,416914,36544.1256899564,33682.0718976911,1.32088202092246,103.910092007142,palmera east,condo
bliss regalia,80,sing avenue,bliss regalia,80 sing avenue bliss regalia singapore 217920,217920,30323.4547916688,33165.6445537247,1.31621273957801,103.854195999834,bliss regalia,condo
changi court,702,upper changi road east,changi court,702 upper changi road east changi court singapore 486832,486832,42423.5891491529,36212.2086755205,1.34376141538763,103.96292317784,east court,condo
petain court,2a,petain road,petain court,2a petain road petain court singapore 208085,208085,30858.7363956412,32697.5789703894,1.31197967493679,103.859005733247,petain court,condo
balmoral hills,9,balmoral park,balmoral hills,9 balmoral park balmoral hills singapore 259844,259844,27381.7652078122,33160.2425358668,1.31616396718925,103.827763425695,balmoral hills,condo
cairnhill crest,8,cairnhill circle,cairnhill crest,8 cairnhill circle cairnhill crest singapore 229814,229814,28615.3634594996,32016.6300917305,1.30582153984418,103.838847909555,cairnhill crest,condo
dublin road flats,13a,dublin road,dublin road flats,13a dublin road dublin road flats singapore 239802,239802,28773.2073926954,31179.4590989798,1.29825045669159,103.84026619091,dublin road flats,condo
dorset mansions,101,dorset road,dorset mansions,101 dorset road dorset mansions singapore 219494,219494,29853.9378282465,32865.6991262008,1.31350017106513,103.849977133757,d-mansions,condo
kew crescent playground,,nil,kew crescent playground,kew crescent playground,nil,40822.922795766,33505.9445889313,1.31928769673761,103.948539115215,kew crescent,condo
haig apartments,185,haig road,haig apartments,185 haig road haig apartments singapore 438782,438782,35374.522007131,32056.1122247837,1.30617772971322,103.899582125544,haig apartments,condo
tong heng kang ah hood road kampong sin huay temple,177q,lorong 7 toa payoh,tong heng kang ah hood road kampong sin huay temple,177q lorong 7 toa payoh tong heng kang ah hood road kampong sin huay temple singapore 319318,319318,30577.169475955,35642.1046945881,1.33860894643291,103.856475963154,lorong 3 toa payoh,condo
luxe ville,336,pasir panjang road,luxe ville,336 pasir panjang road luxe ville singapore 118668,118668,21742.1568744965,30217.2868422493,1.28954829330892,103.777089281289,luxe ville,condo
the azure,203,ocean drive,the azure,203 ocean drive the azure singapore 098583,098583,29597.4299236191,26040.7022052109,1.25177730904166,103.847671939013,the azure,condo
the chuan,31,lorong chuan,the chuan,31 lorong chuan the chuan singapore 556820,556820,31019.6219585203,36889.2630635165,1.34988776144934,103.860451783204,the chuan,condo
summer green,11,boon teck road,summer green,11 boon teck road summer green singapore 329585,329585,29824.9227574468,34355.2010427564,1.32697070112982,103.84971650708,summer green,condo
vibes @ kovan,93,kovan road,vibes @ kovan,93 kovan road vibes @ kovan singapore 548178,548178,32928.3703485457,37435.238558013,1.35482511473466,103.877603175814,vibes @ kovan,condo
la vida @ 130,130,lorong k telok kurau,la vida @ 130,130 lorong k telok kurau la vida @ 130 singapore 425769,425769,37084.1751975277,32870.0350754038,1.31353809863098,103.914944391669,la vida @ 130,condo
gilstead court,52,gilstead road,gilstead court,52 gilstead road gilstead court singapore 309097,309097,28690.2826214563,33421.3035624791,1.31852490942048,103.839521124705,gilstead court,condo
adis road,,adis road,nil,adis road,nil,29635.0412033496,31530.296101306,1.3014211599163,103.848012816719,adis road,condo
novena hill,33,jalan novena,novena hill,33 jalan novena novena hill singapore 308651,308651,29121.446871371,34000.8026952893,1.32376568191684,103.843395379054,novena hill,condo
fort canning road,,fort canning road,nil,fort canning road,nil,29521.4410693855,31103.1723481045,1.29756051659164,103.846989319055,fort road,condo
shelford green,9,shelford road,shelford green,9 shelford road shelford green singapore 288352,288352,25648.2688369928,34089.2552781254,1.32456554554323,103.812187010308,shelford green,condo
936 hougang street 92 singapore 530936,936,hougang street 92,nil,936 hougang street 92 singapore 530936,530936,33181.469382043,39618.5516723711,1.37457017021599,103.879877813491,hougang street 92,condo
rv point,233,river valley road,rv point,233 river valley road rv point singapore 238291,238291,28982.307553269,30687.4541435707,1.29380093107283,103.842145033288,rv point,condo
laverne's loft,66,lorong l telok kurau,laverne's loft,66 lorong l telok kurau laverne's loft singapore 425509,425509,36564.8414914962,32619.1277466081,1.3112691323173,103.910277854719,laverne's loft,condo
nathan road,,nathan road,nil,nathan road,nil,27153.2804921577,30959.7210133839,1.2962632207628,103.825710434521,nathan road,condo
ivory apartments,563a,east coast road,ivory apartments,563a east coast road ivory apartments singapore 429079,429079,37167.6757868882,32493.3505931348,1.31013147585068,103.915694573907,ivory apartments,condo
hallmark residences,21,ewe boon road,hallmark residences,21 ewe boon road hallmark residences singapore 259327,259327,27731.8051774995,33113.0065323524,1.31573678652694,103.830908712919,hallmark residences,condo
smailing court,52,lorong mydin,smailing court,52 lorong mydin smailing court singapore 416851,416851,36671.5122223925,33826.526304001,1.32218837844525,103.911236681609,smailing court,condo
2 lorong n telok kurau singapore 425126,2,lorong n telok kurau,nil,2 lorong n telok kurau singapore 425126,425126,36374.7290424677,32372.3278740067,1.30903721550504,103.908569536117,lorong n telok kurau,condo
coastline residences,7,amber road,coastline residences,7 amber road coastline residences singapore 439953,439953,35301.8361078165,31283.5532072261,1.29919099987699,103.898928828188,coastline residences,condo
tembeling centre,252,tembeling road,tembeling centre,252 tembeling road tembeling centre singapore 423731,423731,36012.8998444621,32087.9907981828,1.30646586931309,103.905318255744,tembeling centre,condo
the panorama,10,ang mo kio avenue 2,the panorama,10 ang mo kio avenue 2 the panorama singapore 567696,567696,28101.0551468041,39763.8324854411,1.37588449421065,103.834226632654,the panorama,condo
the sunniflora,48,lorong g telok kurau,the sunniflora,48 lorong g telok kurau the sunniflora singapore 426231,426231,36507.9121964658,33226.5905312654,1.31676282216463,103.909766484539,the sunniflora,condo
cambio suites,28,lim tua tow road,cambio suites,28 lim tua tow road cambio suites singapore 547791,547791,32801.0169292837,37477.8116878308,1.35521015162313,103.876458829956,suites 28,condo
eastern lagoon,206,upper east coast road,eastern lagoon,206 upper east coast road eastern lagoon singapore 455286,455286,39110.6881701099,32753.5206211116,1.31248371946306,103.933153555572,eastern lagoon,condo
chong kuo road,,chong kuo road,nil,chong kuo road,nil,26266.5930964442,42799.1029106626,1.40333433906002,103.817742479529,chong kuo road,condo
